"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Replies,"Link clicks",Navigation,"Profile visits",Follows,"Sticker taps"
17878781385280079,17841401475580469,nicki.entenmann,"Nicki Entenmann","Sephora sale is great to restock but don’t feel pressure to buy if you have makeup already!!!",59,"04/09/2025 09:19",,"IG story",,Lifetime,13611,13132,68,1,12,,13608,9,,
18041260256528699,17841401475580469,nicki.entenmann,"Nicki Entenmann","Just took NyQuil pills instead of DayQuil 
#idontwannatalkaboutit",0,"04/09/2025 08:47",,"IG story",,Lifetime,14395,13923,99,3,87,,14331,20,,
17964915551897308,17841401475580469,nicki.entenmann,"Nicki Entenmann",,5,"04/08/2025 15:56",,"IG story",,Lifetime,14386,13974,53,0,49,,13891,23,,
18060943819869174,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"04/08/2025 15:56",,"IG story",,Lifetime,14473,14182,58,1,46,,14641,4,,
18081093700678367,17841401475580469,nicki.entenmann,"Nicki Entenmann","Running my next 
round April 21st-ends beginning of June! 

I’ll go over nutrition (90% of fat loss, weight loss, muscle building, maintaining), macros, daily workouts (home, gym and low impact) carb cycling, supplements, etc. 

Everything I currently do is built from the faster way foundation! 

Follow the plan, not the mood",0,"04/08/2025 15:41",,"IG story",,Lifetime,15859,15287,43,2,7,96,18181,10,,
18271458031260091,17841401475580469,nicki.entenmann,"Nicki Entenmann","A lot of DMs about inflammation: 

I’ve been focusing a lot fruits, fiber and veggies 
Losing weight has def helped the most
avoiding dairy and gluten if I can- makes me puffy
NAD shot
Tons of water and electrolytes 
Cutting back on booze",0,"04/08/2025 15:31",,"IG story",,Lifetime,16092,15456,111,7,45,,16748,12,,
17957839091785563,17841401475580469,nicki.entenmann,"Nicki Entenmann","Under $18 and I get in size 9 
(Same as my Oura)",0,"04/08/2025 15:20",,"IG story",,Lifetime,16413,15612,46,4,2,495,16340,7,,
18276209515267428,17841401475580469,nicki.entenmann,"Nicki Entenmann",@shopletsrally,0,"04/08/2025 13:34",,"IG story",,Lifetime,16601,15928,53,1,6,,19015,14,,160
18046126679374265,17841401475580469,nicki.entenmann,"Nicki Entenmann","April 25 Sept 24 155 ish  145 ish  The difference in my stomach and face is insane to me. So much less inflamed and feel 1000x better now",0,"04/08/2025 12:38",,"IG story",,Lifetime,16986,16262,258,3,77,,16825,29,,
18280036024265879,17841401475580469,nicki.entenmann,"Nicki Entenmann","My oura knew I was getting sick before I did 🙄 Send me your favorites for cold relief!",58,"04/08/2025 12:32",,"IG story",,Lifetime,17766,16750,64,4,67,,17476,30,,
17885748459252658,17841401475580469,nicki.entenmann,"Nicki Entenmann","We apparently gotta spice it up for Madison. 

She isn’t liking what other people spend on their own lives with their own money 😒",8,"04/07/2025 18:49",,"IG story",,Lifetime,12867,11881,69,0,68,,11587,50,,
17954793590945977,17841401475580469,nicki.entenmann,"Nicki Entenmann","These are the only correct answer for workout undies 
100000/10",0,"04/07/2025 15:34",,"IG story",,Lifetime,13955,13116,64,3,12,1439,14878,27,,
18038654351547346,17841401475580469,nicki.entenmann,"Nicki Entenmann",,0,"04/07/2025 15:29",,"IG story",,Lifetime,13724,13154,136,4,5,,15098,4,,
18050609969200318,17841401475580469,nicki.entenmann,"Nicki Entenmann","On sale $15! I’m in m",0,"04/07/2025 15:11",,"IG story",,Lifetime,14266,13294,73,0,8,1221,15366,10,,
18054165700968407,17841401475580469,nicki.entenmann,"Nicki Entenmann","Def not wearing our favorite workout undies 😒

2 500M sprints Guys I’m working so hard on all the row tips from this community",17,"04/07/2025 14:58",,"IG story",,Lifetime,14020,13515,91,1,22,,13845,6,,
18046048301104156,17841401475580469,nicki.entenmann,"Nicki Entenmann","I’ll never skip a FW dirty dozen",30,"04/07/2025 14:56",,"IG story",,Lifetime,14347,13619,124,4,15,,14619,15,,
18061759487100040,17841401475580469,nicki.entenmann,"Nicki Entenmann",,6,"04/07/2025 13:10",,"IG story",,Lifetime,13383,12865,157,9,17,,11614,12,,
17926121832046902,17841401475580469,nicki.entenmann,"Nicki Entenmann","I just bought a Vuori one for $130 and this is identical  @oldnavy",49,"04/07/2025 12:56",,"IG story",,Lifetime,13783,12965,86,4,7,828,14076,5,,
18042888758613838,17841401475580469,nicki.entenmann,"Nicki Entenmann","In LOVE with this one  M in both @oldnavy  Top $15
Bottom $18",44,"04/07/2025 12:53",,"IG story",,Lifetime,13635,13044,111,4,13,387,14166,4,,
18037810511256554,17841401475580469,nicki.entenmann,"Nicki Entenmann","$26
I’m in M petite",49,"04/07/2025 12:52",,"IG story",,Lifetime,13668,13218,98,2,5,288,14402,1,,
18175727068320348,17841401475580469,nicki.entenmann,"Nicki Entenmann","Ok this one reminds me of free people!!!
Very southern bell vibes 
I’m in love!
Size M",57,"04/07/2025 12:51",,"IG story",,Lifetime,14007,13400,146,4,13,686,14880,4,,
18102047206514123,17841401475580469,nicki.entenmann,"Nicki Entenmann","Easter Dresses!!! It’s $22
I’m in M Petite 5’4”
145 lbs
Size 6
34D",46,"04/07/2025 12:49",,"IG story",,Lifetime,13999,13533,126,4,5,286,15416,7,,
18108363577493003,17841401475580469,nicki.entenmann,"Nicki Entenmann","For our 10 year 
anniversary trip  But shocker he loved this one where I can’t eat, drink or breath in 😮‍💨😏",15,"04/07/2025 12:29",,"IG story",,Lifetime,14004,13638,193,2,72,,12450,11,,
18121564765446610,17841401475580469,nicki.entenmann,"Nicki Entenmann","Trying on stuff for our 10 year anniversary and Ty came upstairs and said I looked like a jellyfish",9,"04/07/2025 12:23",,"IG story",,Lifetime,14187,13834,140,1,90,,12667,8,,
18349077082155375,17841401475580469,nicki.entenmann,"Nicki Entenmann","We ordered Chinese last night, so I asked for a side of lettuce cups for a simple low carb lunch today 🤜🏼🤛🏼",0,"04/07/2025 10:48",https://instagram.com/stories/nicki.entenmann/3605659563375964812,"IG story",,Lifetime,14972,13925,163,0,3,,14908,35,,
18061899302056432,17841401475580469,nicki.entenmann,"Nicki Entenmann","Plum purple  Ruby red Shade 2 Glow drops  Shade 2 @typologyparis #typologypartner #typologyparis  Great for anyone wanting light coverage! I also have been using glow drops & tinted serum under my makeup if I’m wearing it!",0,"04/07/2025 10:35",,"IG story",,Lifetime,14485,13842,108,4,2,254,14753,6,,
