"Post ID","Account ID","Account username","Account name",Description,"Duration (sec)","Publish time",Permalink,"Post type","Data comment",Date,Views,Reach,Likes,Shares,Follows,Comments,Saves
18053889740002708,17841401475580469,nicki.entenmann,"Nicki Entenmann","Imagine where you could be a year from now. Comment “link” for my fat loss round starting Monday!! I have a few spots left 

What if you  stopped taking short cuts and stopped the short term fixes? …If you decided to dedicated yourself to YOU for an entire year? Imagine waking up in 2026 being proud of what you accomplished and never have to make a weight loss resolution again. 

Being fit is the ultimate sign of discipline. No one can go to the gym for you, no one can eat healthy for you, no one can do the work for you. 

99% of you are not the exception to the rule. Whatever excuse you tell yourself to remove accountability from your crappy eating, lack of consistency and patience, and poor choices are only going to leave you in the same spot you are now. 

Nothing changes if nothing changes. This won’t be a new year for you if you don’t make change, it’ll just be another year. So if you’re sick of starting over, stop stopping. 

If you need the big sister energy for this year-I’m your girl! Comment link now!",14,"01/02/2025 08:58",https://www.instagram.com/reel/DEVKsc3RoXA/,"IG reel",,Lifetime,225338,131683,6112,74,44,411,173
18043254896237758,17841401475580469,nicki.entenmann,"Nicki Entenmann","The year of not “becoming” someone but the year of unbecoming everything and getting rid of everyone that no longer aligns with who we want to become. 

Share if you agree!!! 

The year of complete peace, total calmness and trusting God more than ever before. I can explain that sense of security and happiness I have starting the year, but this community will be the best it’s ever been 🫶🏻",10,"01/03/2025 08:26",https://www.instagram.com/reel/DEXr4s4RBsz/,"IG reel",,Lifetime,182953,138114,11730,1215,103,121,758
18021149339343204,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” to join me in my 2025 fitness journey ! I’ll be starting my next faster way round MONDAY and I would love to have you by my side. 

No-I don’t hate my body, I hate how I felt and how my clothes fit. I love myself, my growth, and my focus in a sickening diet culture world. I was gaslighting myself in thinking I had to stay the same, because it was relatable. You are allowed to grow, change and become who you want and the right people will relate! 

I gained 17 lbs in 23-24 (mostly fat lbs). Every lb gained is because of me and my actions (or lack there of). Not my hormones, my kids, my travels, my tiredness, -everything falls on my shoulders. I had a come to Jesus moment last week and finally looked myself dead in the eye and said. “You are the only one who can take control of your life”. And that’s exactly what I’m doing. 

2025 is your comeback year/let’s go 🫶🏻",18,"01/04/2025 07:48",https://www.instagram.com/reel/DEaMQjTxx2W/,"IG reel",,Lifetime,26931,20796,814,11,3,39,20
18029824190254830,17841401475580469,nicki.entenmann,"Nicki Entenmann","Follow @nicki.entenmann if leggings are your love language! 

Hi 👋🏻 I’m Nicki. A size 6 athletic build , working mom of 3, who hated her thighs most her life. I finally LOVE, embrace, and share how to dress them with confidence! (Mostly in athletic wear!) 

sarcasm is my middle name, we’re here for a good time, good laugh and good causal outfit 🫶🏻 (one you’ll actually wear 🤌🏼) 

Follow for more realistic mom fits! 

All sizes and shapes welcome-must have a stellar personality tho 😜

Winter, vail, aspen, leggings, vest, winter look, warm outfit, 

Comment LINK below to receive a DM with the link to shop this post on my LTK ⬇ https://liketk.it/51U4t #ltkactive #ltkfindsunder100 #ltkfitness #ltkactive #ltkfitness #ltksalealert",15,"01/05/2025 11:35",https://www.instagram.com/reel/DEdLBJSyurS/,"IG reel",,Lifetime,44332,32815,1131,4,7,49,18
17877552510234365,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for one of my favorite pair of leggings under $40! 

It’s the Last day of the YPB sale. 30% off + 15% off with code when you comment “link” . I am in a medium regular leggings and Med in top and loving the fit and fabric! 

Also love the studio flex for little compression every day wear! 
 
Abercrombie, sale, athleisure, workout, workout gear, Ypb sale, activewear 

Comment LINK below to receive a DM with the link to shop this post on my LTK ⬇ https://liketk.it/520uk #ltkfitness #ltkactive #ltksalealert #ltkactive #ltkfitness #ltkfindsunder100",23,"01/06/2025 12:45",https://www.instagram.com/reel/DEf30oFS_H6/,"IG reel",,Lifetime,52490,38352,554,18,4,525,53
17860619964331127,17841401475580469,nicki.entenmann,"Nicki Entenmann","#ad 💧Starting 2025 with a clean slate means taking care of my skin from the get-go. Garnier Micellar Water is my go-to for removing makeup before I cleanse, ensuring my skin stays hydrated and fresh. Watch how it lifts away the day with ease! 🎥 Ready to enhance your skincare routine?  #targetpartner #targetstyle @garnierusa @targetstyle @target 

Comment LINK below to receive a DM with the link to shop this post on my LTK ⬇ https://liketk.it/52467 #ltkactive #ltkbeauty #ltkseasonal",51,"01/07/2025 09:59",https://www.instagram.com/reel/DEiJeqTxGmX/,"IG reel",,Lifetime,16113,13684,246,3,3,17,5
18012092594672656,17841401475580469,nicki.entenmann,"Nicki Entenmann","☀️Come along for my morning routine! Up with my coffee ☕️a few mins of reading 📖 , breakfast 🍳,school life, lunches packed, and ready to slay the day! Grab all of my morning favorites linked here! 

Drop your favorite part of your morning routine in comments and I’m buying 20 of you coffee!! 

Life, home life, school life, nespresso, kindle, coffee, lunchbox, home, caraway, pajamas, real life, morning routine

Comment LINK below to receive a DM with the link to shop this post on my LTK ⬇ https://liketk.it/52bNQ #ltkfindsunder50 #ltkhome #ltkfindsunder100",49,"01/08/2025 10:09",https://www.instagram.com/reel/DEkvkMOx0dT/,"IG reel",,Lifetime,109372,61269,1368,11,16,283,38
17870203740267381,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for direct links to all my old navy causal favorites! The vibe at Old Navy is 💯Their basics just keep getting better and the quality keeps improving! I paired my joggers with a tee and easy crew neck sweatshirt, love the barrel jeans (TTS-I’m in 6!) jumpsuit is HEAVEN!! Cargo pants are $15 TODAY!

  AND it’s on sale 👏🏼👏🏼👏🏼

I’m in a medium in all tops😘
6 regular  denim
M regular in joggers and cargo 

Old navy, active wear, athleisure, casual, mom look, size 8, athletic build, thick thigh, size 6, affordable fashion, winter looks, joggers, Jumpsuit, jeans, barrel jeans

Comment LINK below to receive a DM with the link to shop this post on my LTK ⬇ https://liketk.it/52mFA #ltkfindsunder50 #ltksalealert #ltkactive",53,"01/10/2025 08:24",https://www.instagram.com/reel/DEptG64xTEv/,"IG reel",,Lifetime,113462,77792,1547,74,287,914,246
18328001053092011,17841401475580469,nicki.entenmann,"Nicki Entenmann","@nicki.entenmann Where are my besties at??!! In the clurb, we’re all hungry 😂

Follow for more healthyish humor! 

Sometimes it’s margs. Sometimes it’s a mocktail. We are down for coffee, brunch, a workout class or football bloodies.",14,"01/12/2025 07:36",https://www.instagram.com/reel/DEuxU74Rhbx/,"IG reel",,Lifetime,518347,394703,13415,8414,298,143,695
17990743283768172,17841401475580469,nicki.entenmann,"Nicki Entenmann","Comment “link” for my favorite winter lulu picks!

💪🏻This winter Lululemon drop is so good! Rich colors, cozy fits and my all time favorite leggings! Grab something new this winter to give you the motivation to stick to those new years goals!! 🥳

I’m in a size 6 legging 25”
Medium and size 8 tops
And size 8/ 36 D/DD BRAS

Follow @nicki.entenmann for me athleisure outfits all year long! Size 6-8, workout outfits, workout, Leggings, mom outfits, mom life 
Comment LINK below to receive a DM with the link to shop this post on my LTK ⬇ https://liketk.it/52EhD #ltkfitness #ltkactive #ltksalealert 

Let me know what you think I should definitely keep !",64,"01/13/2025 12:01",https://www.instagram.com/reel/DEx0U_zyM8o/,"IG reel",,Lifetime,31052,22531,548,9,8,190,27
